time,temperature,pressure,humidity
0.0,18.55,1015.24,67.3
0.1,19.62,1014.90,67.0
0.2,20.85,1014.98,68.6
0.3,20.76,1015.07,67.8
0.4,20.15,1015.00,68.4
0.5,20.06,1014.71,68.7
0.6,21.43,1014.71,69.6
0.7,20.19,1015.17,69.5
0.8,20.98,1015.17,68.3
0.9,22.14,1014.93,67.3
1.0,21.83,1014.97,70.4
1.1,21.57,1014.87,68.7
1.2,22.11,1014.87,68.9
1.3,22.46,1014.44,67.3
1.4,20.93,1015.25,71.2
1.5,22.87,1015.06,69.2
1.6,22.50,1014.84,68.5
1.7,22.36,1014.88,68.1
1.8,22.94,1015.26,69.0
1.9,21.75,1014.95,68.4
2.0,22.39,1015.49,69.3
2.1,22.39,1014.88,68.7
2.2,22.44,1015.09,69.4
2.3,23.51,1015.19,69.9
2.4,22.99,1015.02,69.0
2.5,22.77,1015.18,69.6
2.6,23.16,1014.68,70.2
2.7,23.50,1014.43,67.9
2.8,23.64,1014.39,68.9
2.9,23.78,1014.81,68.4
3.0,24.03,1014.71,68.4
3.1,23.73,1014.94,68.5
3.2,23.78,1015.00,69.2
3.3,24.21,1014.86,69.4
3.4,24.90,1014.61,69.5
3.5,24.00,1014.91,71.0
3.6,23.79,1014.55,70.1
3.7,24.63,1014.85,69.7
3.8,24.78,1014.89,69.6
3.9,25.02,1015.04,69.0
4.0,24.03,1014.99,70.6
4.1,24.56,1014.75,70.7
4.2,24.55,1014.91,69.0
4.3,23.74,1015.20,71.8
4.4,24.02,1015.30,69.8
4.5,24.96,1014.78,67.6
4.6,24.61,1015.14,70.0
4.7,24.78,1014.65,68.4
4.8,25.31,1014.39,69.3
4.9,25.62,1015.19,70.0
5.0,24.69,1015.11,69.5
5.1,25.48,1014.86,69.5
5.2,24.90,1014.61,68.5
5.3,25.55,1014.82,69.3
5.4,24.76,1014.66,69.6
5.5,24.50,1014.82,69.5
5.6,25.24,1014.51,70.5
5.7,24.54,1014.71,69.6
5.8,24.98,1014.49,71.3
5.9,24.81,1014.80,70.0
6.0,25.12,1014.93,69.6
6.1,24.02,1014.92,70.2
6.2,24.91,1014.47,68.6
6.3,25.20,1014.70,68.8
6.4,25.35,1014.87,68.4
6.5,25.02,1014.56,68.9
6.6,24.52,1014.67,69.9
6.7,24.70,1014.57,69.7
6.8,24.65,1014.66,70.1
6.9,24.22,1013.98,68.8
7.0,23.98,1014.50,69.5
7.1,23.48,1014.89,69.9
7.2,24.47,1014.38,68.7
7.3,24.56,1014.12,69.1
7.4,23.92,1014.80,69.3
7.5,23.45,1014.04,68.5
7.6,23.65,1014.20,70.5
7.7,24.22,1014.44,68.9
7.8,23.22,1014.07,68.8
7.9,23.12,1013.83,70.8
8.0,23.59,1014.39,69.2
8.1,22.52,1014.43,68.7
8.2,23.07,1014.43,69.4
8.3,22.77,1014.17,69.9
8.4,22.59,1014.67,71.0
8.5,23.08,1014.67,70.0
8.6,21.74,1013.70,69.8
8.7,22.58,1013.98,69.3
8.8,22.56,1014.22,68.4
8.9,22.75,1014.93,70.0
